"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-admission-evaluation","fr-lm-admission-evaluation","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Admission Evaluation","Section Évaluation à l'admission","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-admission-evaluation.codeSection","fr-lm-admission-evaluation.codeSection","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de la section","Code de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.codeSection",1,1,"",""
"fr-lm-admission-evaluation.titleSection","fr-lm-admission-evaluation.titleSection","","","",1,1,"","","","string {[]} {[]}
","Titre de la section","Titre de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.titleSection",0,1,"",""
"fr-lm-admission-evaluation.description","fr-lm-admission-evaluation.description","","","",1,1,"","","","string {[]} {[]}
","Bloc narratif","Bloc narratif","","","","","","","","","",,,,,"",,,,"fr-lm-section.description",1,1,"",""
"fr-lm-admission-evaluation.author[x]","fr-lm-admission-evaluation.author[x]","","","",0,*,"","","","Base {[]} {[]}
","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x]",0,*,"",""
"fr-lm-admission-evaluation.author[x].authorProfessional","fr-lm-admission-evaluation.author[x].authorProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","L'auteur est un professionnel de santé","L'auteur est un professionnel de santé","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorProfessional",0,*,"",""
"fr-lm-admission-evaluation.author[x].authorOrganisation","fr-lm-admission-evaluation.author[x].authorOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","L'auteur est une organisation","L'auteur est une organisation","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorOrganisation",0,*,"",""
"fr-lm-admission-evaluation.author[x].authorDevice","fr-lm-admission-evaluation.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorDevice",0,*,"",""
"fr-lm-admission-evaluation.informant","fr-lm-admission-evaluation.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-informant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"fr-lm-section.informant",0,*,"",""
"fr-lm-admission-evaluation.subSection","fr-lm-admission-evaluation.subSection","","","",0,0,"","","","Base {[]} {[]}
","Sous-sections","Sous-sections","","","","","","","","","",,,,,"",,,,"fr-lm-section.subSection",0,*,"",""
"fr-lm-admission-evaluation.entry","fr-lm-admission-evaluation.entry","","","",0,*,"","","","Base {[]} {[]}
","Entrées","Entrées","","","","","","","","","",,,,,"",,,,"fr-lm-section.entry",0,*,"",""
"fr-lm-admission-evaluation.entry.encounterInformation","fr-lm-admission-evaluation.entry.encounterInformation","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-encounter {[]} {[]}
","Entrée Informations sur la rencontre","Entrée Informations sur la rencontre","","","","","","","","","",,,,,"",,,,"fr-lm-admission-evaluation.entry.encounterInformation",0,1,"",""
"fr-lm-admission-evaluation.entry.objectiveFindings","fr-lm-admission-evaluation.entry.objectiveFindings","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-observation {[]} {[]}
","Constatations objectives","Constatations objectives","","","","","","","","","",,,,,"",,,,"fr-lm-admission-evaluation.entry.objectiveFindings",0,*,"",""
"fr-lm-admission-evaluation.entry.functionalStatus[x]","fr-lm-admission-evaluation.entry.functionalStatus[x]","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-condition {[]} {[]}
https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-observation {[]} {[]}","Statut fonctionnel","Statut fonctionnel","","","","","","","","","",,,,,"",,,,"fr-lm-admission-evaluation.entry.functionalStatus[x]",0,*,"",""
"fr-lm-admission-evaluation.entry.note","fr-lm-admission-evaluation.entry.note","","","",0,1,"","","","string {[]} {[]}
","Commentaire","Commentaire","","","","","","","","","",,,,,"",,,,"fr-lm-admission-evaluation.entry.note",0,1,"",""
