"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-header-document","fr-lm-header-document","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Header Document","Eléments de l'entête d'un document contenant les informations générales et nécessaires à la gestion du document (identification et type du document, patient/usager, auteur, évènement documenté, etc...).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-header-document.identifier","fr-lm-header-document.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Identifiant unique du document et/ou du lot de version du meme document.","Identifiant unique du document et/ou du lot de version du meme document.","","","","","","","","","",,,,,"",,,,"fr-lm-header-document.identifier",1,*,"",""
"fr-lm-header-document.documentType","fr-lm-header-document.documentType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de document.","Type de document.","","","","","","","","","",,,,,"",,,,"fr-lm-header-document.documentType",1,1,"",""
"fr-lm-header-document.documentTitle","fr-lm-header-document.documentTitle","","","",1,1,"","","","string {[]} {[]}
","Titre du document.","Titre du document.","","","","","","","","","",,,,,"",,,,"fr-lm-header-document.documentTitle",1,1,"",""
"fr-lm-header-document.date","fr-lm-header-document.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de création du document.","Date de création du document.","","","","","","","","","",,,,,"",,,,"fr-lm-header-document.date",1,1,"",""
"fr-lm-header-document.confidentiality","fr-lm-header-document.confidentiality","","","",1,1,"","","","code {[]} {[]}
","Niveau de confidentialité du document.","Niveau de confidentialité du document.","","","","","","","","","",,,,,"",,,,"fr-lm-header-document.confidentiality",1,1,"",""
"fr-lm-header-document.language","fr-lm-header-document.language","","","",1,1,"","","","code {[]} {[]}
","Langue principale du document.","Langue principale du document.","","","","","","","","","",,,,,"",,,,"fr-lm-header-document.language",1,1,"",""
"fr-lm-header-document.version","fr-lm-header-document.version","","","",1,1,"","","","string {[]} {[]}
","Numéro de version du document.","Numéro de version du document.","","","","","","","","","",,,,,"",,,,"fr-lm-header-document.version",1,1,"",""
"fr-lm-header-document.status","fr-lm-header-document.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Statut du document.","Statut du document.","","","","","","","","","",,,,,"",,,,"fr-lm-header-document.status",1,1,"",""
"fr-lm-header-document.eventType","fr-lm-header-document.eventType","","","",1,*,"","","","CodeableConcept {[]} {[]}
","Evènement documenté et notamment le cadre d'exercice.","Evènement documenté et notamment le cadre d'exercice.","","","","","","","","","",,,,,"",,,,"fr-lm-header-document.eventType",1,*,"",""
"fr-lm-header-document.subject","fr-lm-header-document.subject","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-patient {[]} {[]}
","Patient / Usager.","Patient / Usager.","","","","","","","","","",,,,,"",,,,"fr-lm-header-document.subject",1,1,"",""
