"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-prise-en-charge","fr-lm-prise-en-charge","","","",1,1,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Prise en charge","Association du document à une prise en charge du patient/usager par un professionnel ou par une structure.
 - Exemples :
   - Dans une structure hospitalière, cette prise en charge est une hospitalisation complète ou partielle, des actes et soins externes, une consultation, etc.
   - Dans un cabinet, cette prise en charge est une consultation ou des actes et soins.
 - Pour un document d'expression personnelle du patient ou pour un document élaboré sans la présence du patient (ex : synthèse médicale) ou pour un document produit via un SNR, la prise en charge n'a pas de signification. Dans ce cas, on ne renseignera que les données obligatoires : date de prise en charge (avec nulllFlavor possible) et secteur d'activité.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-prise-en-charge.identifiantPriseEnCharge","fr-lm-prise-en-charge.identifiantPriseEnCharge","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant de la prise en charge.","Identifiant de la prise en charge.","","","","","","","","","",,,,,"",,,,"fr-lm-prise-en-charge.identifiantPriseEnCharge",0,*,"",""
"fr-lm-prise-en-charge.typePriseEnCharge","fr-lm-prise-en-charge.typePriseEnCharge","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type de prise en charge.","Type de prise en charge.","","","","","","","","","",,,,,"",,,,"fr-lm-prise-en-charge.typePriseEnCharge",0,1,"",""
"fr-lm-prise-en-charge.dateDebutFinPriseEnCharge","fr-lm-prise-en-charge.dateDebutFinPriseEnCharge","","","",1,1,"","","","dateTime {[]} {[]}
","Date de début et de fin de la prise en charge.","Date de début et de fin de la prise en charge.","","","","","","","","","",,,,,"",,,,"fr-lm-prise-en-charge.dateDebutFinPriseEnCharge",1,1,"",""
"fr-lm-prise-en-charge.typeSortie","fr-lm-prise-en-charge.typeSortie","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type sortie.","Type sortie.","","","","","","","","","",,,,,"",,,,"fr-lm-prise-en-charge.typeSortie",0,1,"",""
"fr-lm-prise-en-charge.responsablePriseEnCharge","fr-lm-prise-en-charge.responsablePriseEnCharge","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","Responsable de la prise en charge.","Responsable de la prise en charge.","","","","","","","","","",,,,,"",,,,"fr-lm-prise-en-charge.responsablePriseEnCharge",0,1,"",""
"fr-lm-prise-en-charge.personneImpliqueePriseEnCharge","fr-lm-prise-en-charge.personneImpliqueePriseEnCharge","","","",0,*,"","","","Base {[]} {[]}
","Personne impliquée dans la prise en charge.","Personne impliquée dans la prise en charge.","","","","","","","","","",,,,,"",,,,"fr-lm-prise-en-charge.personneImpliqueePriseEnCharge",0,*,"",""
"fr-lm-prise-en-charge.personneImpliqueePriseEnCharge.typeParticipation","fr-lm-prise-en-charge.personneImpliqueePriseEnCharge.typeParticipation","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de participation.","Type de participation.","","","","","","","","","",,,,,"",,,,"fr-lm-prise-en-charge.personneImpliqueePriseEnCharge.typeParticipation",1,1,"",""
"fr-lm-prise-en-charge.personneImpliqueePriseEnCharge.dateDebutFinParticipation","fr-lm-prise-en-charge.personneImpliqueePriseEnCharge.dateDebutFinParticipation","","","",0,1,"","","","dateTime {[]} {[]}
","Date de début et de fin de la participation.","Date de début et de fin de la participation.","","","","","","","","","",,,,,"",,,,"fr-lm-prise-en-charge.personneImpliqueePriseEnCharge.dateDebutFinParticipation",0,1,"",""
"fr-lm-prise-en-charge.personneImpliqueePriseEnCharge.professionnelImplique","fr-lm-prise-en-charge.personneImpliqueePriseEnCharge.professionnelImplique","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","Professionnel impliqué.","Professionnel impliqué.","","","","","","","","","",,,,,"",,,,"fr-lm-prise-en-charge.personneImpliqueePriseEnCharge.professionnelImplique",1,1,"",""
