"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-examination-report","fr-lm-examination-report","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Examination Report","Section Acte d'imagerie","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-examination-report.codeSection","fr-lm-examination-report.codeSection","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de la section","Code de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.codeSection",1,1,"",""
"fr-lm-examination-report.titleSection","fr-lm-examination-report.titleSection","","","",1,1,"","","","string {[]} {[]}
","Titre de la section","Titre de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.titleSection",0,1,"",""
"fr-lm-examination-report.description","fr-lm-examination-report.description","","","",1,1,"","","","string {[]} {[]}
","Bloc narratif","Bloc narratif","","","","","","","","","",,,,,"",,,,"fr-lm-section.description",1,1,"",""
"fr-lm-examination-report.author[x]","fr-lm-examination-report.author[x]","","","",0,*,"","","","Base {[]} {[]}
","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x]",0,*,"",""
"fr-lm-examination-report.author[x].authorProfessional","fr-lm-examination-report.author[x].authorProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","L'auteur est un professionnel de santé","L'auteur est un professionnel de santé","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorProfessional",0,*,"",""
"fr-lm-examination-report.author[x].authorOrganisation","fr-lm-examination-report.author[x].authorOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","L'auteur est une organisation","L'auteur est une organisation","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorOrganisation",0,*,"",""
"fr-lm-examination-report.author[x].authorDevice","fr-lm-examination-report.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorDevice",0,*,"",""
"fr-lm-examination-report.informant","fr-lm-examination-report.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-informant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"fr-lm-section.informant",0,*,"",""
"fr-lm-examination-report.subSection","fr-lm-examination-report.subSection","","","",0,*,"","","","Base {[]} {[]}
","Sous-sections","Sous-sections","","","","","","","","","",,,,,"",,,,"fr-lm-section.subSection",0,*,"",""
"fr-lm-examination-report.entry","fr-lm-examination-report.entry","","","",0,*,"","","","Base {[]} {[]}
","Entrées","Entrées","","","","","","","","","",,,,,"",,,,"fr-lm-section.entry",0,*,"",""
"fr-lm-examination-report.subSection.conclusion","fr-lm-examination-report.subSection.conclusion","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-conclusion {[]} {[]}
","Conclusion de l'examen","Conclusion de l'examen","","","","","","","","","",,,,,"",,,,"fr-lm-examination-report.subSection.conclusion",0,1,"",""
"fr-lm-examination-report.entry.imagingProcedures","fr-lm-examination-report.entry.imagingProcedures","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-procedure {[]} {[]}
","Entrée Techniques d'imagerie","Entrée Techniques d'imagerie","","","","","","","","","",,,,,"",,,,"fr-lm-examination-report.entry.imagingProcedures",1,1,"",""
"fr-lm-examination-report.entry.medicationAdministrations","fr-lm-examination-report.entry.medicationAdministrations","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-medication-administration {[]} {[]}
","Entrée Produits de santé administrés pendant l'acte d'imagerie","Entrée Produits de santé administrés pendant l'acte d'imagerie","","","","","","","","","",,,,,"",,,,"fr-lm-examination-report.entry.medicationAdministrations",0,*,"",""
"fr-lm-examination-report.entry.adverseReactions","fr-lm-examination-report.entry.adverseReactions","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-allergy-intolerance {[]} {[]}
","Entrée allergies et intolérances","Entrée allergies et intolérances","","","","","","","","","",,,,,"",,,,"fr-lm-examination-report.entry.adverseReactions",0,*,"",""
"fr-lm-examination-report.entry.results[x]","fr-lm-examination-report.entry.results[x]","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-observation {[]} {[]}
string {[]} {[]}","Résultats d'examens","Résultats d'examens","","","","","","","","","",,,,,"",,,,"fr-lm-examination-report.entry.results[x]",0,*,"",""
