"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"Patient","Patient","","","",1,1,"","","","null {[]} {[]}
","Base for all types and resources","Defines the basic properties of every data value. This is an abstract type, meaning that no value can be just a data value without belonging to any concrete type. Every concrete type is a specialization of this general abstract DataValue type.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"Patient.nullFlavor","Patient.nullFlavor","","","Exceptional Value Detail",0,0,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple]]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://hl7.org/cda/stds/core/ValueSet/CDANullFlavor","",,,,"ANY.nullFlavor",0,1,"",""
"Patient.realmCode","Patient.realmCode","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CS {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of realm-specific constraints. The value of this attribute identifies the realm in question","","","","","","","","","",,,,,"",,,,"InfrastructureRoot.realmCode",0,*,"",""
"Patient.typeId","Patient.typeId","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/II {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of constraints defined in an HL7-specified message type. This might be a common type (also known as CMET in the messaging communication environment), or content included within a wrapper. The value of this attribute provides a unique identifier for the type in question.","","","","","","","","","",,,,,"",,,,"InfrastructureRoot.typeId",0,1,"","II-1:An II instance must have either a root or an nullFlavor. {root.exists() or nullFlavor.exists()}
"
"Patient.typeId.nullFlavor","Patient.typeId.nullFlavor","","","Exceptional Value Detail",0,0,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple]]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://hl7.org/cda/stds/core/ValueSet/CDANullFlavor","",,,,"ANY.nullFlavor",0,1,"",""
"Patient.typeId.assigningAuthorityName","Patient.typeId.assigningAuthorityName","","","Assigning Authority Name",0,0,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple]]} {[]}
","","A human readable name or mnemonic for the assigning authority. The Assigning Authority Name has no computational value. The purpose of a Assigning Authority Name is to assist an unaided human interpreter of an II value to interpret the authority. Note: no automated processing must depend on the assigning authority name to be present in any form.","","","","","","","","","",,,,,"",,,,"II.assigningAuthorityName",0,1,"",""
"Patient.typeId.displayable","Patient.typeId.displayable","","","Displayable",0,0,"","","","boolean {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/bl-simple]]} {[]}
","","Specifies if the identifier is intended for human display and data entry (displayable = true) as opposed to pure machine interoperation (displayable = false).","","","","","","","","","",,,,,"",,,,"II.displayable",0,1,"",""
"Patient.typeId.root","Patient.typeId.root","","","Root",1,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/oid], CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/uuid], CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/ruid]]} {[]}
","","Identifies the type as an HL7 Registered model","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""2.16.840.1.113883.1.3""/>","","","","",,,,,"",,,,"II.root",0,1,"",""
"Patient.typeId.extension","Patient.typeId.extension","","","Extension",1,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple]]} {[]}
","","A character string as a unique identifier within the scope of the identifier root.","","","","","","","","","",,,,,"",,,,"II.extension",0,1,"",""
"Patient.templateId","Patient.templateId","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/II {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of a set of template-defined constraints. The value of this attribute provides a unique identifier for the templates in question","","","","","","","","","",,,,,"",,,,"InfrastructureRoot.templateId",0,*,"",""
"Patient.classCode","Patient.classCode","","","",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple]]} {[]}
","","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""PSN""/>","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-EntityClassLivingSubject","",,,,"Patient.classCode",0,1,"",""
"Patient.determinerCode","Patient.determinerCode","","","",0,0,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple]]} {[]}
","","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""INSTANCE""/>","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-EntityDeterminer","",,,,"Patient.determinerCode",0,1,"",""
"Patient.id","Patient.id","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/II {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Patient.id",0,1,"",""
"Patient.name","Patient.name","","","",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/PN {[]} {[]}
","Noms et prénoms.","","","","","","","","","","",,,,,"",,,,"Patient.name",0,*,"",""
"Patient.name.nullFlavor","Patient.name.nullFlavor","","","Exceptional Value Detail",0,0,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple]]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://hl7.org/cda/stds/core/ValueSet/CDANullFlavor","",,,,"ANY.nullFlavor",0,1,"",""
"Patient.name.use","Patient.name.use","","","Use Code",0,*,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple]]} {[]}
","","A set of codes advising a system or user which name in a set of like names to select for a given purpose. A name without specific use code might be a default name useful for any purpose, but a name with a specific use code would be preferred for that respective purpose","","","","","","","","","",,"required","","http://hl7.org/cda/stds/core/ValueSet/CDAEntityNameUse","",,,,"EN.use",0,*,"",""
"Patient.name.item","Patient.name.item","","","",1,*,"","","","http://hl7.org/fhir/StructureDefinition/Base {[]} {[]}
","","A series of items that constitute the name.","","","","","","","","","",,,,,"",,,,"EN.item",0,*,"","EN-1:Can only have only one of the possible item elements in each choice {(delimiter | family | given | prefix | suffix | xmlText).count() = 1}
"
"Patient.name.item.delimiter","Patient.name.item.delimiter","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ENXP {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"EN.item.delimiter",0,*,"",""
"Patient.name.item.family","Patient.name.item.family","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ENXP {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"EN.item.family",0,*,"",""
"Patient.name.item.given","Patient.name.item.given","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ENXP {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"EN.item.given",0,*,"",""
"Patient.name.item.prefix","Patient.name.item.prefix","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ENXP {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"EN.item.prefix",0,*,"",""
"Patient.name.item.suffix","Patient.name.item.suffix","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ENXP {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"EN.item.suffix",0,*,"",""
"Patient.name.item.xmlText","Patient.name.item.xmlText","","","",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple]]} {[]}
","Allows for mixed text content","","This element is represented in XML as textual content. The actual name ""xmlText"" will not appear in a CDA instance.","","","","","","","","",,,,,"",,,,"EN.item.xmlText",0,1,"",""
"Patient.name.validTime","Patient.name.validTime","","","Valid Time",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/IVL-TS {[]} {[]}
","","An interval of time specifying the time during which the name is or was used for the entity. This accomodates the fact that people change names for people, places and things.","","","","","","","","","",,,,,"",,,,"EN.validTime",0,1,"",""
"Patient.sdtcDesc","Patient.sdtcDesc","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ED {[]} {[]}
","","The desc extension allows multimedia depictions of patients, healthcare providers, or other individuals to be included in a CDA document.","","","","","","","","","",,,,,"",,,,"Patient.sdtcDesc",0,1,"",""
"Patient.administrativeGenderCode","Patient.administrativeGenderCode","","","",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","Sexe.","","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J143-AdministrativeGender-CISIS/FHIR/JDV-J143-AdministrativeGender-CISIS","",,,,"Patient.administrativeGenderCode",0,1,"",""
"Patient.birthTime","Patient.birthTime","","","",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/TS {[]} {[]}
","Date de naissance.","","","","","","","","","","",,,,,"",,,,"Patient.birthTime",0,1,"",""
"Patient.sdtcDeceasedInd","Patient.sdtcDeceasedInd","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/BL {[]} {[]}
","Patient décédé ou pas ?","","","","","","","","","","",,,,,"",,,,"Patient.sdtcDeceasedInd",0,1,"",""
"Patient.sdtcDeceasedTime","Patient.sdtcDeceasedTime","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/TS {[]} {[]}
","Date de décès.","","","","","","","","","","",,,,,"",,,,"Patient.sdtcDeceasedTime",0,1,"",""
"Patient.sdtcMultipleBirthInd","Patient.sdtcMultipleBirthInd","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/BL {[]} {[]}
","Patient né d'une grossesse multiple.","","","","","","","","","","",,,,,"",,,,"Patient.sdtcMultipleBirthInd",0,1,"",""
"Patient.sdtcMultipleBirthOrderNumber","Patient.sdtcMultipleBirthOrderNumber","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/INT-POS {[]} {[]}
","Numéro d’ordre de naissance (si issu d'une grossesse multiple).","","","","","","","","","","",,,,,"",,,,"Patient.sdtcMultipleBirthOrderNumber",0,1,"",""
"Patient.maritalStatusCode","Patient.maritalStatusCode","","","",0,0,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"example","","http://terminology.hl7.org/ValueSet/v3-MaritalStatus","",,,,"Patient.maritalStatusCode",0,1,"",""
"Patient.religiousAffiliationCode","Patient.religiousAffiliationCode","","","",0,0,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"example","","http://terminology.hl7.org/ValueSet/v3-ReligiousAffiliation","",,,,"Patient.religiousAffiliationCode",0,1,"",""
"Patient.raceCode","Patient.raceCode","","","",0,0,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"example","","http://terminology.hl7.org/ValueSet/v3-Race","",,,,"Patient.raceCode",0,1,"",""
"Patient.sdtcRaceCode","Patient.sdtcRaceCode","","","",0,0,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"example","","http://terminology.hl7.org/ValueSet/v3-Race","",,,,"Patient.sdtcRaceCode",0,*,"",""
"Patient.ethnicGroupCode","Patient.ethnicGroupCode","","","",0,0,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"example","","http://terminology.hl7.org/ValueSet/v3-Ethnicity","",,,,"Patient.ethnicGroupCode",0,1,"",""
"Patient.sdtcEthnicGroupCode","Patient.sdtcEthnicGroupCode","","","",0,0,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"example","","http://terminology.hl7.org/ValueSet/v3-Ethnicity","",,,,"Patient.sdtcEthnicGroupCode",0,*,"",""
"Patient.guardian","Patient.guardian","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Guardian {[]} {[]}
","Représentant du patient/usager.","","","","","","","","","","",,,,,"",,,,"Patient.guardian",0,*,"",""
"Patient.birthplace","Patient.birthplace","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Birthplace {[]} {[]}
","Lieu de naissance.","","","","","","","","","","",,,,,"",,,,"Patient.birthplace",0,1,"",""
"Patient.languageCommunication","Patient.languageCommunication","","","",0,0,"","","","http://hl7.org/cda/stds/core/StructureDefinition/LanguageCommunication {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Patient.languageCommunication",0,*,"",""
