"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-allergies-and-intolerances","fr-lm-allergies-and-intolerances","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Allergies And Intolerances","Section Allergies et hypersensibilités","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-allergies-and-intolerances.codeSection","fr-lm-allergies-and-intolerances.codeSection","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de la section","Code de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.codeSection",1,1,"",""
"fr-lm-allergies-and-intolerances.titleSection","fr-lm-allergies-and-intolerances.titleSection","","","",1,1,"","","","string {[]} {[]}
","Allergies et hypersensibilités","Titre de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.titleSection",0,1,"",""
"fr-lm-allergies-and-intolerances.description","fr-lm-allergies-and-intolerances.description","","","",1,1,"","","","string {[]} {[]}
","Bloc narratif","Bloc narratif","","","","","","","","","",,,,,"",,,,"fr-lm-section.description",1,1,"",""
"fr-lm-allergies-and-intolerances.author[x]","fr-lm-allergies-and-intolerances.author[x]","","","",0,*,"","","","Base {[]} {[]}
","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x]",0,*,"",""
"fr-lm-allergies-and-intolerances.author[x].authorProfessional","fr-lm-allergies-and-intolerances.author[x].authorProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","L'auteur est un professionnel de santé","L'auteur est un professionnel de santé","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorProfessional",0,*,"",""
"fr-lm-allergies-and-intolerances.author[x].authorOrganisation","fr-lm-allergies-and-intolerances.author[x].authorOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","L'auteur est une organisation","L'auteur est une organisation","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorOrganisation",0,*,"",""
"fr-lm-allergies-and-intolerances.author[x].authorDevice","fr-lm-allergies-and-intolerances.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorDevice",0,*,"",""
"fr-lm-allergies-and-intolerances.informant","fr-lm-allergies-and-intolerances.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-informant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"fr-lm-section.informant",0,*,"",""
"fr-lm-allergies-and-intolerances.subSection","fr-lm-allergies-and-intolerances.subSection","","","",0,0,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-section {[]} {[]}
","Sous-sections","Sous-sections","","","","","","","","","",,,,,"",,,,"fr-lm-section.subSection",0,*,"",""
"fr-lm-allergies-and-intolerances.entry","fr-lm-allergies-and-intolerances.entry","","","",1,*,"","","","Base {[]} {[]}
","Entrées","Entrées","","","","","","","","","",,,,,"",,,,"fr-lm-section.entry",0,*,"",""
"fr-lm-allergies-and-intolerances.entry.allergieIntolerance","fr-lm-allergies-and-intolerances.entry.allergieIntolerance","","","",1,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-allergy-intolerance {[]} {[]}
","Entrée Allergie ou Hypersensibilité","Entrée Allergie ou Hypersensibilité","","","","","","","","","",,,,,"",,,,"fr-lm-allergies-and-intolerances.entry.allergieIntolerance",1,*,"",""
