"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-device","fr-lm-device","","","",0,*,"","","","null {[]} {[]}
","Logical model - Device","Entrée Dispositif médical","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-device.identifier","fr-lm-device.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant du DM","Identifiant du DM","","","","","","","","","",,,,,"",,,,"fr-lm-device.identifier",0,*,"",""
"fr-lm-device.udi","fr-lm-device.udi","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant unique du DM (UDI)","Identifiant unique du DM (UDI)","","","","","","","","","",,,,,"",,,,"fr-lm-device.udi",0,1,"",""
"fr-lm-device.manufacturer","fr-lm-device.manufacturer","","","",0,1,"","","","string {[]} {[]}
","Nom du fabricant du DM. Si le code du fabricant est inclus dans l'identifiant, le nom du fabricant doit correspondre à ce code.","Nom du fabricant du DM. Si le code du fabricant est inclus dans l'identifiant, le nom du fabricant doit correspondre à ce code.","","","","","","","","","",,,,,"",,,,"fr-lm-device.manufacturer",0,1,"",""
"fr-lm-device.manufactureDate","fr-lm-device.manufactureDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date d'heure de production du DM","Date d'heure de production du DM","","","","","","","","","",,,,,"",,,,"fr-lm-device.manufactureDate",0,1,"",""
"fr-lm-device.expiryDate","fr-lm-device.expiryDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date d'expiration du DM","Date d'expiration du DM","","","","","","","","","",,,,,"",,,,"fr-lm-device.expiryDate",0,1,"",""
"fr-lm-device.lotNumber","fr-lm-device.lotNumber","","","",0,1,"","","","string {[]} {[]}
","Numéro de lot du DM. Optionnel si le numéro de lot est inclus dans l'identifiant.","Numéro de lot du DM. Optionnel si le numéro de lot est inclus dans l'identifiant.","","","","","","","","","",,,,,"",,,,"fr-lm-device.lotNumber",0,1,"",""
"fr-lm-device.serialNumber","fr-lm-device.serialNumber","","","",0,1,"","","","string {[]} {[]}
","Numéro de série attribué par le fabricant. Optionnel si le numéro de série est inclus dans l'identifiant.","Numéro de série attribué par le fabricant. Optionnel si le numéro de série est inclus dans l'identifiant.","","","","","","","","","",,,,,"",,,,"fr-lm-device.serialNumber",0,1,"",""
"fr-lm-device.name","fr-lm-device.name","","","",0,*,"","","","Base {[]} {[]}
","Nom du DM","Nom du DM","","","","","","","","","",,,,,"",,,,"fr-lm-device.name",0,*,"",""
"fr-lm-device.name.value","fr-lm-device.name.value","","","",1,1,"","","","string {[]} {[]}
","Nom du DM (ex Nom du DM associé à l'UDI, Nom commercial du DM attribué par le fabricant)","Nom du DM (ex Nom du DM associé à l'UDI, Nom commercial du DM attribué par le fabricant)","","","","","","","","","",,,,,"",,,,"fr-lm-device.name.value",1,1,"",""
"fr-lm-device.name.type","fr-lm-device.name.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de nom du DM (ex Nom du DM associé à l'UDI, nom commercial du DM attribué par le fabricant)","Type de nom du DM (ex Nom du DM associé à l'UDI, nom commercial du DM attribué par le fabricant)","","","","","","","","","",,,,,"",,,,"fr-lm-device.name.type",1,1,"",""
"fr-lm-device.modelNumber","fr-lm-device.modelNumber","","","",0,1,"","","","string {[]} {[]}
","Numéro de modèle attribué par le fabricant.","Numéro de modèle attribué par le fabricant.","","","","","","","","","",,,,,"",,,,"fr-lm-device.modelNumber",0,1,"",""
"fr-lm-device.version","fr-lm-device.version","","","",0,*,"","","","string {[]} {[]}
","Version du DM","Version du DM","","","","","","","","","",,,,,"",,,,"fr-lm-device.version",0,*,"",""
"fr-lm-device.type","fr-lm-device.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de DM - EMDN (1.2.250.1.213.2.68)","Type de DM - EMDN (1.2.250.1.213.2.68)","","","","","","","","","",,,,,"",,,,"fr-lm-device.type",1,1,"",""
"fr-lm-device.note","fr-lm-device.note","","","",0,1,"","","","string {[]} {[]}
","Commentaire","Commentaire","","","","","","","","","",,,,,"",,,,"fr-lm-device.note",0,1,"",""
