"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-patient-education","fr-lm-patient-education","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Patient Education","Section Education du patient","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-patient-education.codeSection","fr-lm-patient-education.codeSection","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de la section","Code de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.codeSection",1,1,"",""
"fr-lm-patient-education.titleSection","fr-lm-patient-education.titleSection","","","",0,1,"","","","string {[]} {[]}
","Titre de la section","Titre de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.titleSection",0,1,"",""
"fr-lm-patient-education.description","fr-lm-patient-education.description","","","",1,1,"","","","string {[]} {[]}
","Bloc narratif","Bloc narratif","","","","","","","","","",,,,,"",,,,"fr-lm-section.description",1,1,"",""
"fr-lm-patient-education.author[x]","fr-lm-patient-education.author[x]","","","",0,*,"","","","Base {[]} {[]}
","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x]",0,*,"",""
"fr-lm-patient-education.author[x].authorProfessional","fr-lm-patient-education.author[x].authorProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","L'auteur est un professionnel de santé","L'auteur est un professionnel de santé","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorProfessional",0,*,"",""
"fr-lm-patient-education.author[x].authorOrganisation","fr-lm-patient-education.author[x].authorOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","L'auteur est une organisation","L'auteur est une organisation","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorOrganisation",0,*,"",""
"fr-lm-patient-education.author[x].authorDevice","fr-lm-patient-education.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorDevice",0,*,"",""
"fr-lm-patient-education.informant","fr-lm-patient-education.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-informant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"fr-lm-section.informant",0,*,"",""
"fr-lm-patient-education.subSection","fr-lm-patient-education.subSection","","","",0,0,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-section {[]} {[]}
","Sous-sections","Sous-sections","","","","","","","","","",,,,,"",,,,"fr-lm-section.subSection",0,*,"",""
"fr-lm-patient-education.entry","fr-lm-patient-education.entry","","","",0,*,"","","","Base {[]} {[]}
","Entrées","Entrées","","","","","","","","","",,,,,"",,,,"fr-lm-section.entry",0,*,"",""
"fr-lm-patient-education.entry.procedure","fr-lm-patient-education.entry.procedure","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-procedure {[]} {[]}
","Entrée Acte","Entrée Acte","","","","","","","","","",,,,,"",,,,"fr-lm-patient-education.entry.procedure",0,*,"",""
"fr-lm-patient-education.entry.observation","fr-lm-patient-education.entry.observation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-observation {[]} {[]}
","Entrée Simple observation","Entrée Simple observation","","","","","","","","","",,,,,"",,,,"fr-lm-patient-education.entry.observation",0,*,"",""
"fr-lm-patient-education.entry.reference","fr-lm-patient-education.entry.reference","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-attachment {[]} {[]}
","Entrée Références externes","Entrée Références externes","","","","","","","","","",,,,,"",,,,"fr-lm-patient-education.entry.reference",0,*,"",""
