"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-section-pregnancy-history","fr-lm-section-pregnancy-history","","","",0,*,"","","","null {[]} {[]}
","Logical model  - FR LM Pregnancy History","Section Historique des grossesses","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-section-pregnancy-history.codeSection","fr-lm-section-pregnancy-history.codeSection","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de la section","Code de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.codeSection",1,1,"",""
"fr-lm-section-pregnancy-history.titleSection","fr-lm-section-pregnancy-history.titleSection","","","",1,1,"","","","string {[]} {[]}
","Titre de la section","Titre de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.titleSection",0,1,"",""
"fr-lm-section-pregnancy-history.description","fr-lm-section-pregnancy-history.description","","","",1,1,"","","","string {[]} {[]}
","Bloc narratif","Bloc narratif","","","","","","","","","",,,,,"",,,,"fr-lm-section.description",1,1,"",""
"fr-lm-section-pregnancy-history.author[x]","fr-lm-section-pregnancy-history.author[x]","","","",0,*,"","","","Base {[]} {[]}
","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x]",0,*,"",""
"fr-lm-section-pregnancy-history.author[x].authorProfessional","fr-lm-section-pregnancy-history.author[x].authorProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","L'auteur est un professionnel de santé","L'auteur est un professionnel de santé","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorProfessional",0,*,"",""
"fr-lm-section-pregnancy-history.author[x].authorOrganisation","fr-lm-section-pregnancy-history.author[x].authorOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","L'auteur est une organisation","L'auteur est une organisation","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorOrganisation",0,*,"",""
"fr-lm-section-pregnancy-history.author[x].authorDevice","fr-lm-section-pregnancy-history.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorDevice",0,*,"",""
"fr-lm-section-pregnancy-history.informant","fr-lm-section-pregnancy-history.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-informant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"fr-lm-section.informant",0,*,"",""
"fr-lm-section-pregnancy-history.subSection","fr-lm-section-pregnancy-history.subSection","","","",0,0,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-section {[]} {[]}
","Sous-sections","Sous-sections","","","","","","","","","",,,,,"",,,,"fr-lm-section.subSection",0,*,"",""
"fr-lm-section-pregnancy-history.entry","fr-lm-section-pregnancy-history.entry","","","",0,*,"","","","Base {[]} {[]}
","Entrées","Entrées","","","","","","","","","",,,,,"",,,,"fr-lm-section.entry",0,*,"",""
"fr-lm-section-pregnancy-history.entry.pregnancyStatus","fr-lm-section-pregnancy-history.entry.pregnancyStatus","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-pregnancy-status {[]} {[]}
","Statut de grossesse","Statut de grossesse","","","","","","","","","",,,,,"",,,,"fr-lm-section-pregnancy-history.entry.pregnancyStatus",0,1,"",""
"fr-lm-section-pregnancy-history.entry.pregnancyHistory","fr-lm-section-pregnancy-history.entry.pregnancyHistory","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-pregnancy-history {[]} {[]}
","Historique des grossesses. Exemple : nb d'enfants nés vivants, etc…","Historique des grossesses. Exemple : nb d'enfants nés vivants, etc…","","","","","","","","","",,,,,"",,,,"fr-lm-section-pregnancy-history.entry.pregnancyHistory",0,*,"",""
"fr-lm-section-pregnancy-history.note","fr-lm-section-pregnancy-history.note","","","",0,1,"","","","string {[]} {[]}
","Commentaire","Commentaire","","","","","","","","","",,,,,"",,,,"fr-lm-section-pregnancy-history.note",0,1,"",""
